Epoch,Train Loss,Training Accuracy,Training F1 Score,Validation Loss,Validation Accuracy,Validation F1 Score
1,62427.55,47.87,0.51,6588.60,74.98,0.75
2,67051.87,48.62,0.52,5134.23,80.85,0.81
3,62603.98,50.96,0.55,4285.26,83.99,0.84
4,63359.66,51.64,0.56,3907.28,85.48,0.85
5,61188.51,53.55,0.58,3623.56,86.89,0.87
6,68111.04,53.04,0.58,3340.70,87.87,0.88
7,74843.08,52.91,0.58,3169.01,88.19,0.88
8,79143.52,52.65,0.58,3075.72,88.85,0.89
9,73048.44,55.61,0.60,2994.51,89.22,0.89
10,66016.31,58.62,0.63,2967.18,89.56,0.90
11,69393.20,58.13,0.63,3060.48,89.43,0.89
12,71934.23,59.13,0.63,3034.06,89.73,0.90
13,73306.11,59.83,0.64,3020.96,90.06,0.90
14,73894.00,60.92,0.65,3012.79,89.98,0.90
15,74915.45,60.89,0.65,3074.46,89.89,0.90
16,76621.09,61.27,0.65,3178.17,89.62,0.90
17,80657.21,61.40,0.65,3210.51,89.68,0.90
18,78366.32,62.50,0.66,3299.98,89.90,0.90
19,79222.14,62.52,0.66,3394.00,89.84,0.90
20,83669.83,62.84,0.66,3503.77,89.73,0.90
21,91716.78,61.71,0.65,3535.06,89.89,0.90
22,87925.53,63.31,0.67,3665.53,89.65,0.90
23,95067.85,62.49,0.66,3775.50,89.66,0.90
24,79829.24,65.42,0.69,3838.79,89.79,0.90
25,87110.27,64.39,0.68,4018.39,89.66,0.90
